"token","group","target","reference","n_target","n_reference","total_target","total_reference","keyness","direction"
"populacao","grupo","situacao","oposicao",1,1,81,66,-0.0213340299547196,"oposicao"
"recursos","grupo","situacao","oposicao",1,1,81,66,-0.0213340299547196,"oposicao"
"reforma","grupo","situacao","oposicao",1,1,81,66,-0.0213340299547196,"oposicao"
"acredita","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"ambiental","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"ano","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"aparece","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"ate","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"banco","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"coincidencia","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"competitiva","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"concluido","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"consultamos","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"custa","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"documentos","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"educacao","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"eleitoral","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"entregues","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"escolar","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"essenciais","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"estudo","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"faltam","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"governo","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"impacto","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"investigacao","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"liberacao","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"licitacao","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"merenda","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"municipios","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"ninguem","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"obras","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"paisagismo","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"pede","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"pedimos","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"posto","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"precisa","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"prioriza","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"querem","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"reajustar","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"semelhantes","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"ser","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"suspenso","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"terminar","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"tipo","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"verba","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"vereadores","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"vezes","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"vista","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"vizinhos","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"votar","grupo","situacao","oposicao",0,1,81,66,-1.23567870485679,"oposicao"
"nao","grupo","situacao","oposicao",1,3,81,66,-1.50604824468461,"oposicao"
"praca","grupo","situacao","oposicao",1,3,81,66,-1.50604824468461,"oposicao"
"dinheiro","grupo","situacao","oposicao",0,2,81,66,-2.4884012539185,"oposicao"
"processo","grupo","situacao","oposicao",0,2,81,66,-2.4884012539185,"oposicao"
"saude","grupo","situacao","oposicao",0,2,81,66,-2.4884012539185,"oposicao"
"sobra","grupo","situacao","oposicao",0,2,81,66,-2.4884012539185,"oposicao"
